GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
W16_number_hw_B,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,10,10.00000,,,,,
W16_number_hw_B,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,10,10.00000,,,,,
W16_number_hw_B,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,10,10.00000,,,,,
W16_number_hw_B,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,10,10.00000,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2731,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
W18_misleading_terms_B,Ban on deceitful terms on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1255,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
W19_colours_numbers_B,Other smoked tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2732,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No value specified in the law,,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No value specified in the law,,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No value specified in the law,,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,50,50.00000,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,50,50.00000,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,50,50.00000,,,,,
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1314,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,50,50.00000,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
W20_flavours_B,Other smoked tobacco packaging and labelling must not use descriptors depicting flavours,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2733,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
W21_emissions_quant_B,Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2734,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
W22_emissions_qual_B,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4576,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Not applicable,,,,,,
W23_emissions_front_back_B,Emission yields must be displayed on one or more principle display areas of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4577,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Not applicable,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
W24_exp_date_B,Display of expiry dates is prevented on other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4578,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
W25_quitline_number_B,The quit line number must appear on other smoked tobacco packaging or labelling,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2735,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2736,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No value specified in the law,,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No value specified in the law,,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No value specified in the law,,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,50,50.00000,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,50,50.00000,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,50,50.00000,,,,,
W3_pc_front_B,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1266,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,50,50.00000,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No value specified in the law,,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No value specified in the law,,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No value specified in the law,,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,50,50.00000,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,50,50.00000,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,50,50.00000,,,,,
W4_pc_back_B,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1252,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,50,50.00000,,,,,
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2727,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2727,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2727,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2727,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2727,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
